,JobName,CompanyName,LocationJob,JobType,Type_of_Experience,Years_of_Experience,Skills
1295,Oracle Techno-Functional Consultant,Salt Search Ltd ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Oracle', 'Computer Science', 'EBS', 'ERP', 'Finance', 'Project Management']"
1296,Scrum Master,Salt Search Ltd ,"Dubai, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Engineering - Telecom/Technology', 'Computer Science', 'Information Technology (IT)', 'Agile', 'Scrum', 'Software Development', 'Scrum Master', 'Software']"
1297,Lead Planner (Open),Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Marketing/PR/Advertising', 'Sales/Retail', 'supply chain', 'sales', 'planning', 'logistics']"
1298,Assistant Manager - Government Services (UAE National),DMCC ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'Administration', 'Office Management', 'Microsoft Office', 'Secretary', 'Admin Assistant', 'Admin', 'Customer Service']"
1299,AVP & Manager Operational Risk & Controls,First Abu Dhabi Bank ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Operations/Management', 'engineering', 'finance', 'accounting', 'microsoft office', 'management', 'operations', 'quality']"
1300,VideoGrapher-Support Functions-Brand & Communication-Digital Marketing,Leejam Sports ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Marketing/PR/Advertising,"['Sales/Retail', 'Media/Journalism/Publishing', 'marketing', 'social media', 'digital marketing', 'e-marketing', 'management', 'english', 'design']"
1301,Pressure System Engineer (Open),Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Computer Engineering', 'Installation', 'Linux', 'Maintenance']"
1302,Scaffolding Superintendent (Open),Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Quality', 'civil engineering', 'construction', 'engineering', 'hse', 'site']"
1303,Lifting Supervisor (Open),Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'engineering', 'mechanical engineering', 'manufacturing', 'erp']"
1304,Network Engineer,Purple Rock Security Control Trading LLC ,"Dubai, United Arab Emirates ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Engineering', 'Networking', 'Computer Engineering', 'Networks', 'Installation']"
1305,Senior Pipeline Engineer,Airswift ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Computer Engineering', 'Mechanical Engineering']"
1306,HYCO Plant Process Engineer (Open),Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Manufacturing/Production,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'engineering', 'mechanical engineering', 'production', 'manufacturing']"
1307,Investment Analyst,One Tech Capital ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Analyst/Research', 'Financial Analysis', 'Accounting', 'Finance', 'Analysis', 'Business Administration', 'Banking', 'Investment Banking', 'Business']"
1308,Project Site Logistics Coordinator,Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'engineering', 'civil engineering', 'project management', 'construction', 'logistics', 'management', 'english']"
1309,Site Project Controls Manager – NEOM GHE (Open),Air Products Inc ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Project/Program Management', 'Engineering - Mechanical/Electrical', 'engineering', 'civil engineering', 'project management', 'construction', 'microsoft office', 'management', 'primavera']"
1310,Quality Assurance Manager,Beamtrail ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Quality', 'Engineering - Telecom/Technology', 'Quality Assurance', 'Quality Control', 'Quality', 'QA', 'Engineering', 'QC', 'Computer Science']"
1311,Finance Senior Manager - Riyadh,PwC ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Accounting/Finance,"['IT/Software Development', 'Sales/Retail', 'Finance', 'Accounting', 'Sales', 'Sales Skills', 'Customer Service', 'Financial Management', 'Microsoft Office']"
1312,Personal Assistant,Informa PLC ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'Administration', 'Office Management', 'Microsoft Office', 'Secretary', 'Admin', 'Personal Assistant', 'Admin Assistant']"
1313,Project Manager-Support Function- Project and Real Estate- Constructions,Leejam Sports ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['IT/Software Development', 'Sales/Retail', 'real estate', 'sales', 'sales skills', 'sales target', 'construction', 'management', 'design']"
1314,Brand Content Designer / Creative Strategist,Auditoire ,"Doha, Qatar ",Full Time,Not specified,Creative/Design/Art,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'marketing', 'social media', 'media', 'e-marketing', 'creative', 'content', 'communication']"
1315,Document Controller,Al Nahiya Group ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Administration,"['Engineering - Construction/Civil/Architecture', 'Quality', 'Administration', 'Document Control', 'Microsoft Office', 'Admin', 'Construction', 'Engineering', 'English']"
1316,Document Controller II,Worley group ,"Doha, Qatar ",Full Time,Not specified,Administration,"['Engineering - Construction/Civil/Architecture', 'Quality', 'Administration', 'Microsoft Office', 'Document Control', 'Admin', 'Construction', 'English', 'Microsoft Excel']"
1317,Manager of Programs - Documentaries - Al Jazeera English,TVZ ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Project/Program Management', 'Engineering - Telecom/Technology', 'Project Management', 'Information Technology (IT)', 'Management', 'Computer Science', 'Engineering', 'Program Management', 'Programming']"
1318,Process Engineer Level II,Worley group ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'information technology (it)', 'computer science', 'engineering', 'software development', 'software', 'agile', 'technical support']"
1319,Principal Public Health Engineer,SNC,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Telecom/Technology,"['Engineering - Mechanical/Electrical', 'Engineering - Other', 'engineering', 'electrical engineering', 'computer science', 'mechanical engineering', 'communication', 'english', 'mep']"
1320,ServiceNow consultant,DXC ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'ccie', 'ccnp', 'computer science', 'cybersecurity', 'engineering']"
1321,Procurement & Bid Specialist (PMO) M/F,Egis Group ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Procurement', 'Purchasing', 'Supply Chain', 'Logistics', 'Microsoft Office', 'Engineering', 'Business Administration']"
1322,Cluster Human Resources Manager - Pre-Opening,Rotana Hotel Management Corporation ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Human Resources', 'Operations/Management', 'Human Resources (HR)', 'Recruitment', 'Personnel', 'Microsoft Office', 'HR', 'Management', 'Training']"
1323,"Logistics Coordinator Ras Al-khair, Eastern Province, Saudi Arabia","National Oilwell Varco, Inc. ","Riyadh, Saudi Arabia ",Full Time,Not specified,Logistics/Supply Chain,"['Operations/Management', 'Purchasing/Procurement', 'logistics', 'requirements', 'freight', 'requirementsevery', 'trucking']"
1324,Lead Principal MEP Engineer,SNC,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['IT/Software Development', 'Engineering - Mechanical/Electrical', 'engineering', 'mechanical engineering', 'mep', 'information technology (it)', 'design', 'communication skills', 'english']"
1325,Senior Electrical Engineer,SNC,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Electrical Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'AutoCAD', 'Mechanical Engineering']"
1326,Senior Product Manager - Onboarding and Identity (Egypt),Kuda Technologies Ltd ,"Cairo, Egypt ",Full Time,Not specified,IT/Software Development,"['Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Marketing', 'Information Technology (IT)', 'Sales Skills', 'Project Management', 'Product Management', 'Computer Science']"
1327,Senior Process Engineer,Worley group ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Software Development', 'Mechanical Engineering', 'Computer Engineering']"
1328,Teacher of PE - Qatar - September 2023,PriorySouthsea ,"Doha, Qatar ",Full Time,Not specified,Creative/Design/Art,"['Sports and Leisure', 'Education/Teaching', 'Education', 'PE', 'Teaching', 'Physical Education', 'Sports', 'English', 'Enthusiastic']"
1329,Senior HSE Supervisor,Worley group ,"Jeddah, Saudi Arabia ",Full Time,Not specified,Quality,"['Sales/Retail', 'Engineering - Other', 'HSE', 'Engineering', 'Quality', 'Safety', 'Quality Assurance', 'Quality Control', 'Science']"
1330,HR Projects Manager,Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['IT/Software Development', 'Project/Program Management', 'Project Management', 'Engineering', 'PMP', 'Information Technology (IT)', 'Management', 'Human Resources (HR)', 'Computer Science']"
1331,Spa Therapist - HIA Lounges,Qatar Airways ,"Doha, Qatar ",Full Time,Not specified,Hospitality/Hotels/Food Services,"['Medical/Healthcare', 'Sports and Leisure', 'healthcare', 'medical', 'spa', 'massage', 'customer service']"
1332,Principal (Health Insurance Policy),IQVIA Biotech ,"Doha, Qatar ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Education/Teaching', 'Education', 'Teaching', 'Computer Science', 'Information Technology (IT)', 'Engineering', 'Management', 'Administration']"
1333,Stage Community Manager - Auditoire Shopper,Auditoire ,"Doha, Qatar ",Full Time,Not specified,Operations/Management,"['Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Social Media', 'Media', 'E-marketing', 'Customer Service', 'Digital Marketing', 'Market Research']"
1334,Junior Finance Officer,DiXiO ,"Dubai, United Arab Emirates ",Full Time,Not specified,Accounting/Finance,"['Administration', 'Purchasing/Procurement', 'Accounting', 'Finance', 'Microsoft Office', 'Business Administration', 'English', 'Financial Analysis', 'Logistics']"
1335,Senior Mechanical Engineer,SNC,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'Engineering', 'Mechanical Engineering', 'Information Technology (IT)', 'Computer Science', 'Software Engineering', 'Electrical Engineering', 'Software Development']"
1336,"Warehouse Assistant Ras Al-khair, Eastern Province, Saudi Arabia","National Oilwell Varco, Inc. ","Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Logistics/Supply Chain', 'Operations/Management', 'inventory', 'warehouse', 'inventoryevery', 'management', 'packing']"
1337,TRS Technician I,Parker Drilling Company ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Installation/Maintenance/Repair,"['IT/Software Development', 'Engineering - Mechanical/Electrical', 'engineering', 'information technology (it)', 'electrical engineering', 'civil engineering', 'customer service', 'quality', 'maintenance']"
1338,Project Controls Engineer,Expfederal ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Engineering - Construction/Civil/Architecture,"['Project/Program Management', 'Quality', 'Engineering', 'Quality Control', 'Project Management', 'Quality Assurance', 'Civil Engineering', 'Quality', 'Computer Science']"
1339,Personal Assistant,Saladplate ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Operations/Management', 'Administration', 'Office Management', 'Microsoft Office', 'Secretary', 'Admin', 'Personal Assistant', 'Admin Assistant']"
1340,Associate Process/Specialty Engineer II,Fluor Corporation ,"Riyadh, Saudi Arabia ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'information technology (it)', 'computer science', 'engineering', 'software engineering', 'technical support', 'management', 'design']"
1341,Clinical Research Coordinator,IQVIA Holdings Inc. ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Medical/Healthcare', 'Analyst/Research', 'Research', 'Administration', 'Analysis', 'Medical', 'Pharmacy', 'Healthcare', 'Microsoft Office']"
1342,Cluster Front Office Manager - Pre-Opening,Rotana Hotel Management Corporation ,"Riyadh, Saudi Arabia ",Full Time,Not specified,Administration,"['Customer Service/Support', 'Hospitality/Hotels/Food Services', 'Administration', 'Office Management', 'Secretary', 'Hospitality', 'Microsoft Office', 'Admin', 'Customer Service']"
1343,Human Resources Executive - Jumeirah Messilah Beach Hotel and Spa,DUBAI HOLDING ,"Kuwait City, Kuwait ",Full Time,Not specified,Administration,"['Human Resources', 'Operations/Management', 'Human Resources (HR)', 'Recruitment', 'Microsoft Office', 'Administration', 'Labor Law', 'Payroll', 'HR']"
1344,Logistics Supervisor,Kitopi ,"Dubai, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['Logistics/Supply Chain', 'Operations/Management', 'Logistics', 'Supply Chain', 'Warehousing', 'Operations', 'Customer Service', 'Microsoft Office', 'FMCG']"
1345,Aircraft Structures Technician - Sri Lanka Assessment day,Etihad Aviation Group ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,IT/Software Development,"['Engineering - Telecom/Technology', 'Engineering - Mechanical/Electrical', 'engineering', 'information technology (it)', 'computer science', 'electrical engineering', 'maintenance', 'operations', 'education']"
1346,IT Assistant,Giesecke & Devrient GmbH ,"Dubai, United Arab Emirates ",Full Time,Not specified,Administration,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Computer Science', 'Administration', 'Admin', 'Assistant', 'Computer Engineering', 'Computer Hardware']"
1347,Manager- Mortgage After Sales Services - Abu Dhabi,First Gulf Bank PJSC ,"Abu Dhabi, United Arab Emirates ",Full Time,Not specified,Customer Service/Support,"['IT/Software Development', 'Sales/Retail', 'Sales', 'Customer Service', 'Sales Skills', 'Customer Support', 'Customer Care', 'Sales Target', 'After Sales']"
